sequence
701;688;234;567;890;345;678;901;234;56
701;688;883;901;912;923;934;945;956;96
701;688;244;133;92;59;38;20;10;9;5;3;2
701;688;821;901;1000;1101;1208;1307;14
701;688;999;2997;8991;2009;3999;6001;7
701;688;802;933;959;980;994;1005;1021
701;688;529;682;533;674;528;678;531;67
701;688;243;876;126;354;691;948;589;36
701;688;225;455;700;924;337;692;494;70
701;688;200;420;440;460;480;500;520;54
701;688;525;711;722;819;828;906;915;92
701;688;921;786;883;982;987;994;999;10
701;688;895;982;973;1011;1108;1109;110
701;688;294;499;346;689;893;171;178;24
701;688;277;862;188;108;488;788;282;87
701;688;923;1054;1122;1187;1249;1313;1
701;688;224;424;154;415;479;524;589;64
701;688;125;470;956;879;1353;1584;2329
701;688;1299;1969;2759;3549;4339;5139
701;688;925;1021;1131;1242;1353;1464;1
701;688;496;702;689;497;703;690;498;70
701;688;549;465;529;483;517;501;487;48
701;688;922;1025;1128;1225;1328;1425;1
701;688;200;100;80;40;15;2;7;1
701;688;299;383;277;204;192;149;112;99
701;688;992;1002;1101;1200;1300;1400;1
701;688;502;696;704;699;511;694;516;69
701;688;1234;5678;9012;3456;7890;12345
701;688;495;701;688;495;701;688;495;70
701;688;247;882;722;279;798;377;976
701;688;704;712;707;709;715;720;724;72
701;688;827;946;1040;1137;1224;1311;14
701;688;924;576;160;49;688;576;49;688
701;688;593;688;723;730;701;698;688;69
701;688;495;701;688;495;701;688;495;70
701;688;572;821;379;776;590;893;677;47
701;688;496;702;689;497;703;690;498;70
701;688;209;388;585;786;120;190;250;32
701;688;820;942;1004;1132;1268;1396;15
701;688;899;927;945;966;984;1003;1022
701;688;897;924;973;954;949;933;911;91
701;688;702;690;689;703;692;691;704;69
701;688;829;1037;1212;1396;1588;1780;1
701;688;1203;1312;1419;1528;1637;1746
701;688;802;904;927;935;960;999;1014;1
701;688;802;888;957;904;963;968;999;95
701;688;495;701;688;495;701;688;495;70
701;688;812;924;966;980;984;988;992;99
701;688;902;930;981;999;1024;1041;1065
701;688;1234;2345;3456;4567;5678;6789
