data1
"294, 320, 352, 384, 416, 448, 480, 512"
702 846 540 613 725 478 864 597
"254, 863, 652, 443, 234, 825, 616, 409, 202, 8"
818 923 749 657 315 492 586 764 938 872
806 645 908 659 814 908 622 416
831 914 268 459 732 618 594 387 956
"896, 765, 654, 543, 432, 321, 210, 109, 98, 87"
"318, 592, 261, 934, 875, 123, 456, 789, 321, 654"
400 450 547 611 703 746 800 850 947 951
"312, 290, 809, 898, 557, 424, 311, 293, 807, 897"
"971,437,458,921,356,988,891,446,971,437"
"245, 638, 401, 915, 154, 250, 643, 406, 921, 163"
"236, 256, 227, 287, 216, 277, 266, 247, 297, 237"
984 158 654 489
974 318 763 498 975 319 764 499 976 320
"356, 794, 521, 348"
"605, 609, 701, 823, 907, 232, 597, 601, 605, 609"
"761,875,853,702,501,501"
"387, 776, 122, 543, 452, 291, 618, 388, 777, 123"
"814, 418, 841, 481, 184, 418, 814, 481, 184, 418"
765 389 298 504 876 359 468 132 745 987
"585, 657, 599, 668, 585, 657, 599, 668, 585, 657"
624 907 709 508 438 589 489 234 159 867
277 892 344 100 325 277 892 344 100 325
"600, 700, 800, 900, 300, 400, 500, 60, 70, 80"
"833,754,312,222,197,114"
956 274 832 654 123 789 456 321 876 543
328 655 249 816 532
624 751 853 942 825 726 652 541 460 505
"318, 214, 107, 845, 632, 519, 314, 207, 104, 832"
"883, 449, 337, 675, 298, 786, 554, 197, 805, 426"
"753, 844, 666, 823, 181, 898"
274 592 142 389 765 238 650 971 345 826
874 774 484 764 854 747 474 845 787 877
771 782 793 804 815 826 837 848 859 870
"333,130,765,212,578,423,876,254,987,365"
919 897 888 883 881 879 877 871 869 863
637 884 293 443 368 867 382 459 736 628
414 429 444 459 474 489 504 559 574 589
847 809 420 882 262 408 283 161
"734,699,628,569,463,827,345,987,654,543"
564 647 285 372 468 554 643 735 824 916
935 382 207 523 173 808 205 963
"225, 621, 535, 679, 547, 629, 568, 652, 584, 639"
921 822 386 942 669
701 266 950 281 291 667 851 998
535 680 958 159 176 656 314
546 623 711 809 452
"921, 670, 622, 161, 359, 381, 623, 671, 915, 357"
908 897 913 798 658 407 893 789 678 567
"608, 954, 306, 728, 509, 830, 245, 926, 418, 739"
302 570 123 987 256 431 604 829 153 376
"547, 312, 409, 283, 658, 109, 476, 394, 258, 567"
234 821 893 927 662 298 829 935 657 273
"741, 463, 285, 109, 357, 620, 803, 592, 418, 769"
"871,458,704,870,456,703,869,457,702,868"
648 658 548 518 483 216 820 978
817 621 259 801 987 345 778 965 268 372
209 345 678 123 456 789 321 654 987
345 234 567 890 123 456 789 101 321 654
258 347 672 891 356 289 147 982 378 259
"130, 208, 798, 897, 987, 789, 879, 978, 796, 697"
573 864 429 296 548 652 713 365 870 289
"467, 289, 628, 924, 456, 945, 432, 892, 624, 928"
"689,670,435,667,206,833,489,198,857"
482 268 359 854 217 538 671 392 583 264
457 293 361 553 345 918 712 469 281 527
983 795 411 784 838 531 296 985 797 413
823 755 682 619 556 493 430 367 304 241
596 697 796 972 499 579 679 778 979 489
"737, 188, 320, 565, 640, 901, 820, 465, 273, 388"
"485,222,555,101,333,777,909,313,626,858"
568 682 854 516 661 865 528 674 879 541
897 978 789 797 987 879 979 798 896 788
"536, 502, 646, 396, 385, 509, 510, 671, 405, 401"
"423, 378, 649, 591, 362, 317, 708, 660, 283, 256"
178 279 380 466 522 611 789 890 967 123
"587, 601, 615, 629, 643, 657, 671, 685, 699, 713"
"291, 845, 376, 482, 753, 297, 648, 539, 364, 825"
"101, 804, 454, 645, 523, 364, 685, 504, 465, 824"
841 451 871 481 901 511 931 541 961 571
"532, 864, 391, 782, 167, 953, 246, 638, 527, 814"
"998, 353, 129, 736, 961, 996, 351, 127, 738, 999"
634 960 482 648 926 478 620 984 466 682
"532, 363, 791"
823 456 792 234 187 654 321 987 468 532
"223,167,802,233,124,821,765,142,231,889"
"654, 789, 321, 546, 765, 890, 123, 456, 781, 234"
"131, 292, 302, 966, 313, 132, 213, 123, 321, 231"
"895, 583, 847, 551, 879, 532, 864, 578, 853, 519"
561 623 685 267 129 921 973 131 535 607
"725, 155, 868, 594, 753, 327, 889, 642, 425, 798"
"357,190,833,531,201,402,603,304,105,706"
863 776 684 856 181 402 269 864 778 685
781 451 894 661 571 673 782 452 895 662
877 180 705 245 631 519 168 342 567 289
"816, 585, 728, 135, 551, 858, 653, 588, 165, 752"
"441,587,349,243,637,819,369"
296 766 286 764 288 762 291 763 287 765
987 258 639 827 493 168 746 392 127 831
